Date,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Heat,Cool,Sunrise,Sunset,Depth,SnowFall,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed
2007-05-17,62.0,43.0,53.0,-6.0,32.0,43.0,12.0,0.0,430.0,1906.0,0.0,0.0,0.0,29.55,30.27,10.5,3.0,11.3
2007-05-18,71.0,42.0,57.0,-3.0,30.0,46.0,8.0,0.0,429.0,1907.0,0.0,0.0,0.0,29.53,30.25,5.4,25.0,7.5
2007-05-19,80.0,56.0,68.0,8.0,39.0,53.0,0.0,3.0,428.0,1908.0,0.0,0.0,0.0,29.34,30.08,11.1,24.0,11.4
2007-05-20,69.0,43.0,56.0,-5.0,40.0,44.0,9.0,0.0,427.0,1909.0,0.0,0.0,0.07,29.38,30.11,10.4,4.0,10.7
2007-05-21,80.0,44.0,62.0,1.0,50.0,56.0,3.0,0.0,426.0,1910.0,0.0,0.0,0.0,29.33,30.06,6.3,11.0,8.2
2007-05-22,87.0,55.0,71.0,10.0,46.0,58.0,0.0,6.0,425.0,1911.0,0.0,0.0,0.0,29.34,30.06,10.0,18.0,10.2
2007-05-23,89.0,60.0,75.0,14.0,49.0,61.0,0.0,10.0,425.0,1912.0,0.0,0.0,0.0,29.39,30.1,11.4,19.0,11.8
2007-05-24,88.0,63.0,76.0,14.0,54.0,63.0,0.0,11.0,424.0,1913.0,0.0,0.0,0.02,29.41,30.11,14.9,21.0,17.3
2007-05-25,70.0,56.0,63.0,1.0,44.0,53.0,2.0,0.0,423.0,1914.0,0.0,0.0,0.0,29.51,30.24,4.9,5.0,8.8
2007-05-26,65.0,49.0,57.0,-5.0,55.0,56.0,8.0,0.0,422.0,1915.0,0.0,0.0,1.01,29.36,30.11,2.8,17.0,7.2
2007-05-27,75.0,57.0,66.0,4.0,47.0,56.0,0.0,1.0,422.0,1916.0,0.0,0.0,0.04,29.34,30.06,8.9,26.0,9.5
2007-05-28,79.0,50.0,65.0,2.0,47.0,56.0,0.0,0.0,421.0,1916.0,0.0,0.0,0.0,29.43,30.15,4.8,10.0,5.3
2007-05-29,88.0,60.0,74.0,10.0,58.0,65.0,0.0,9.0,421.0,1917.0,0.0,0.0,0.0,29.39,30.11,5.8,18.0,6.5
2007-05-30,87.0,66.0,77.0,13.0,58.0,65.0,0.0,12.0,420.0,1918.0,0.0,0.0,0.0,29.31,30.04,10.3,19.0,10.6
2007-05-31,78.0,65.0,72.0,8.0,61.0,65.0,0.0,7.0,420.0,1919.0,0.0,0.0,0.01,29.28,30.0,9.3,19.0,9.9
2007-06-01,85.0,62.0,74.0,10.0,63.0,66.0,0.0,9.0,419.0,1920.0,0.0,0.0,0.19,29.19,29.91,4.2,17.0,6.4
2007-06-02,81.0,65.0,73.0,9.0,63.0,67.0,0.0,8.0,419.0,1920.0,0.0,0.0,0.04,29.03,29.77,6.5,22.0,7.4
2007-06-03,78.0,62.0,70.0,6.0,60.0,63.0,0.0,5.0,418.0,1921.0,0.0,0.0,0.01,28.82,29.56,5.2,25.0,6.7
2007-06-04,71.0,58.0,65.0,1.0,58.0,60.0,0.0,0.0,418.0,1922.0,0.0,0.0,0.39,28.82,29.52,7.8,31.0,9.7
2007-06-05,64.0,47.0,56.0,-9.0,48.0,51.0,9.0,0.0,417.0,1923.0,0.0,0.0,0.42,29.1,29.79,5.2,5.0,7.6
2007-06-06,71.0,44.0,58.0,-8.0,48.0,55.0,7.0,0.0,417.0,1923.0,0.0,0.0,0.01,29.07,29.81,10.8,17.0,11.4
2007-06-07,91.0,71.0,81.0,15.0,62.0,69.0,0.0,16.0,417.0,1924.0,0.0,0.0,0.0,28.84,29.55,22.7,20.0,23.1
2007-06-08,81.0,57.0,69.0,3.0,53.0,61.0,0.0,4.0,417.0,1925.0,0.0,0.0,0.0,29.18,29.85,10.9,28.0,13.8
2007-06-09,79.0,52.0,66.0,0.0,47.0,57.0,0.0,1.0,416.0,1925.0,0.0,0.0,0.0,29.36,30.07,0.3,33.0,5.0
2007-06-10,81.0,55.0,68.0,1.0,51.0,59.0,0.0,3.0,416.0,1926.0,0.0,0.0,0.0,29.34,30.05,4.8,17.0,5.6
2007-06-11,86.0,58.0,72.0,5.0,52.0,61.0,0.0,7.0,416.0,1926.0,0.0,0.0,0.0,29.41,30.11,4.9,11.0,6.9
2007-06-12,83.0,62.0,73.0,5.0,50.0,60.0,0.0,8.0,416.0,1927.0,0.0,0.0,0.0,29.44,30.16,8.3,5.0,8.8
2007-06-13,87.0,60.0,74.0,6.0,53.0,62.0,0.0,9.0,416.0,1927.0,0.0,0.0,0.0,29.36,30.09,7.2,5.0,8.6
2007-06-14,89.0,64.0,77.0,9.0,55.0,64.0,0.0,12.0,416.0,1928.0,0.0,0.0,0.0,29.3,30.02,5.6,5.0,6.8
2007-06-15,91.0,63.0,77.0,9.0,56.0,64.0,0.0,12.0,416.0,1928.0,0.0,0.0,0.0,29.28,29.99,4.1,6.0,4.9
2007-06-16,93.0,66.0,80.0,11.0,60.0,67.0,0.0,15.0,416.0,1929.0,0.0,0.0,0.0,29.26,29.97,4.8,28.0,5.8
2007-06-17,91.0,70.0,81.0,12.0,64.0,70.0,0.0,16.0,416.0,1929.0,0.0,0.0,0.0,29.23,29.95,2.8,11.0,6.3
2007-06-18,89.0,69.0,79.0,9.0,65.0,70.0,0.0,14.0,416.0,1929.0,0.0,0.0,0.28,29.12,29.84,14.0,20.0,15.1
2007-06-19,80.0,65.0,73.0,3.0,55.0,63.0,0.0,8.0,416.0,1930.0,0.0,0.0,0.58,29.26,29.95,10.7,28.0,11.4
2007-06-20,84.0,61.0,73.0,3.0,52.0,61.0,0.0,8.0,416.0,1930.0,0.0,0.0,0.0,29.39,30.1,7.8,27.0,8.8
2007-06-21,77.0,61.0,69.0,-1.0,51.0,60.0,0.0,4.0,416.0,1930.0,0.0,0.0,0.01,29.36,30.08,3.5,3.0,10.7
2007-06-22,76.0,61.0,69.0,-1.0,50.0,58.0,0.0,4.0,417.0,1931.0,0.0,0.0,0.0,29.33,30.06,7.8,6.0,8.7
2007-06-23,67.0,62.0,65.0,-5.0,58.0,61.0,0.0,0.0,417.0,1931.0,0.0,0.0,0.05,29.23,29.96,7.6,12.0,9.0
2007-06-24,77.0,63.0,70.0,-1.0,62.0,65.0,0.0,5.0,417.0,1931.0,0.0,0.0,0.0,29.26,29.97,7.0,9.0,8.0
2007-06-25,89.0,65.0,77.0,6.0,66.0,70.0,0.0,12.0,417.0,1931.0,0.0,0.0,0.0,29.38,30.07,3.9,14.0,6.8
2007-06-26,92.0,70.0,81.0,10.0,69.0,72.0,0.0,16.0,418.0,1931.0,0.0,0.0,0.16,29.39,30.11,6.1,22.0,7.1
2007-06-27,91.0,71.0,81.0,10.0,70.0,72.0,0.0,16.0,418.0,1931.0,0.0,0.0,0.15,29.29,30.02,7.5,24.0,8.8
2007-06-28,74.0,58.0,66.0,-5.0,55.0,60.0,0.0,1.0,419.0,1931.0,0.0,0.0,0.0,29.41,30.09,11.9,3.0,12.5
2007-06-29,70.0,56.0,63.0,-8.0,55.0,59.0,2.0,0.0,419.0,1931.0,0.0,0.0,0.0,29.41,30.13,7.6,2.0,8.3
2007-06-30,79.0,54.0,67.0,-5.0,46.0,56.0,0.0,2.0,419.0,1931.0,0.0,0.0,0.0,29.41,30.13,4.9,3.0,5.8
2007-07-01,75.0,54.0,65.0,-7.0,52.0,58.0,0.0,0.0,420.0,1931.0,0.0,0.0,0.0,29.51,30.23,8.6,4.0,8.6
2007-07-02,79.0,53.0,66.0,-6.0,50.0,58.0,0.0,1.0,420.0,1931.0,0.0,0.0,0.0,29.49,30.22,5.9,14.0,8.1
2007-07-03,83.0,60.0,72.0,0.0,57.0,63.0,0.0,7.0,421.0,1931.0,0.0,0.0,0.4,29.31,30.06,6.7,21.0,7.3
2007-07-04,86.0,67.0,77.0,5.0,65.0,69.0,0.0,12.0,422.0,1930.0,0.0,0.0,0.16,29.18,29.9,4.6,27.0,8.2
2007-07-05,89.0,71.0,80.0,8.0,60.0,67.0,0.0,15.0,422.0,1930.0,0.0,0.0,0.0,29.24,29.94,6.4,31.0,8.1
2007-07-06,86.0,66.0,76.0,4.0,57.0,64.0,0.0,11.0,423.0,1930.0,0.0,0.0,0.0,29.32,30.03,3.2,5.0,5.5
2007-07-07,90.0,64.0,77.0,5.0,63.0,69.0,0.0,12.0,423.0,1930.0,0.0,0.0,0.0,29.18,29.91,8.4,22.0,8.6
2007-07-08,94.0,75.0,85.0,12.0,67.0,72.0,0.0,20.0,424.0,1929.0,0.0,0.0,0.0,29.05,29.77,12.9,24.0,13.1
2007-07-09,94.0,70.0,82.0,9.0,66.0,70.0,0.0,17.0,425.0,1929.0,0.0,0.0,0.3,29.11,29.8,4.9,24.0,8.8
2007-07-10,89.0,69.0,79.0,6.0,67.0,70.0,0.0,14.0,425.0,1929.0,0.0,0.0,0.43,29.06,29.77,8.6,23.0,10.5
2007-07-11,77.0,62.0,70.0,-3.0,51.0,59.0,0.0,5.0,426.0,1928.0,0.0,0.0,0.0,29.23,29.93,8.8,30.0,10.9
2007-07-12,80.0,61.0,71.0,-2.0,51.0,59.0,0.0,6.0,427.0,1928.0,0.0,0.0,0.0,29.22,29.93,9.4,29.0,11.1
2007-07-13,78.0,58.0,68.0,-5.0,52.0,58.0,0.0,3.0,428.0,1927.0,0.0,0.0,0.0,29.26,29.98,1.4,1.0,5.3
2007-07-14,84.0,61.0,73.0,0.0,55.0,62.0,0.0,8.0,428.0,1927.0,0.0,0.0,0.0,29.08,29.79,8.3,26.0,13.2
2007-07-15,82.0,60.0,71.0,-3.0,53.0,61.0,0.0,6.0,429.0,1926.0,0.0,0.0,0.0,29.19,29.89,2.1,29.0,4.9
2007-07-16,82.0,65.0,74.0,0.0,60.0,65.0,0.0,9.0,430.0,1925.0,0.0,0.0,0.39,29.25,29.96,4.4,24.0,5.2
2007-07-17,83.0,68.0,76.0,2.0,66.0,69.0,0.0,11.0,431.0,1925.0,0.0,0.0,0.11,29.18,29.9,5.2,23.0,6.5
2007-07-18,85.0,69.0,77.0,3.0,68.0,71.0,0.0,12.0,432.0,1924.0,0.0,0.0,1.55,29.11,29.84,9.1,24.0,10.1
2007-07-19,83.0,63.0,73.0,-1.0,63.0,66.0,0.0,8.0,433.0,1923.0,0.0,0.0,0.16,29.21,29.9,7.0,1.0,11.9
2007-07-20,75.0,58.0,67.0,-7.0,53.0,59.0,0.0,2.0,433.0,1923.0,0.0,0.0,0.0,29.44,30.14,8.6,3.0,9.1
2007-07-21,74.0,58.0,66.0,-8.0,52.0,58.0,0.0,1.0,434.0,1922.0,0.0,0.0,0.0,29.51,30.22,6.5,3.0,7.4
2007-07-22,81.0,58.0,70.0,-4.0,55.0,61.0,0.0,5.0,435.0,1921.0,0.0,0.0,0.0,29.49,30.21,1.7,16.0,3.3
2007-07-23,83.0,60.0,72.0,-2.0,55.0,63.0,0.0,7.0,436.0,1920.0,0.0,0.0,0.0,29.37,30.1,3.2,9.0,4.0
2007-07-24,82.0,65.0,74.0,0.0,58.0,64.0,0.0,9.0,437.0,1919.0,0.0,0.0,0.0,29.32,30.04,3.1,20.0,5.2
2007-07-25,85.0,71.0,78.0,4.0,61.0,67.0,0.0,13.0,438.0,1918.0,0.0,0.0,0.0,29.29,30.0,5.8,25.0,6.6
2007-07-26,83.0,66.0,75.0,1.0,65.0,68.0,0.0,10.0,439.0,1918.0,0.0,0.0,0.19,29.19,29.92,7.2,22.0,9.4
2007-07-27,83.0,70.0,77.0,3.0,68.0,70.0,0.0,12.0,440.0,1917.0,0.0,0.0,0.17,29.11,29.82,3.0,3.0,7.9
2007-07-28,80.0,66.0,73.0,-1.0,65.0,68.0,0.0,8.0,441.0,1916.0,0.0,0.0,0.0,29.23,29.93,10.0,3.0,10.2
2007-07-29,85.0,63.0,74.0,0.0,57.0,64.0,0.0,9.0,442.0,1915.0,0.0,0.0,0.0,29.28,29.99,4.8,5.0,5.7
2007-07-30,89.0,62.0,76.0,2.0,55.0,64.0,0.0,11.0,443.0,1914.0,0.0,0.0,0.0,29.33,30.03,3.8,6.0,4.3
2007-07-31,91.0,68.0,80.0,6.0,61.0,68.0,0.0,15.0,444.0,1913.0,0.0,0.0,0.0,29.33,30.04,3.3,4.0,4.9
2007-08-01,92.0,69.0,81.0,8.0,62.0,69.0,0.0,16.0,445.0,1911.0,0.0,0.0,0.0,29.29,30.0,3.5,9.0,4.1
2007-08-02,91.0,70.0,81.0,8.0,66.0,71.0,0.0,16.0,446.0,1910.0,0.0,0.0,0.0,29.26,29.97,5.5,26.0,5.9
2007-08-03,90.0,69.0,80.0,7.0,56.0,66.0,0.0,15.0,447.0,1909.0,0.0,0.0,0.0,29.31,30.02,2.7,3.0,5.7
2007-08-04,81.0,64.0,73.0,0.0,58.0,64.0,0.0,8.0,448.0,1908.0,0.0,0.0,0.03,29.31,30.03,5.7,8.0,6.1
2007-08-05,88.0,67.0,78.0,5.0,71.0,73.0,0.0,13.0,449.0,1907.0,0.0,0.0,1.43,29.08,29.81,5.4,21.0,9.6
2007-08-06,88.0,74.0,81.0,8.0,72.0,74.0,0.0,16.0,450.0,1906.0,0.0,0.0,0.26,29.13,29.83,1.6,10.0,4.9
2007-08-07,91.0,72.0,82.0,9.0,73.0,76.0,0.0,17.0,451.0,1904.0,0.0,0.0,1.31,29.06,29.76,6.2,25.0,9.0
2007-08-08,87.0,73.0,80.0,7.0,71.0,73.0,0.0,15.0,452.0,1903.0,0.0,0.0,0.06,29.13,29.83,3.0,3.0,6.9
2007-08-09,84.0,72.0,78.0,5.0,71.0,73.0,0.0,13.0,453.0,1902.0,0.0,0.0,0.05,29.13,29.84,2.5,29.0,6.0
2007-08-10,86.0,70.0,78.0,5.0,68.0,72.0,0.0,13.0,454.0,1900.0,0.0,0.0,0.0,29.26,29.96,4.5,2.0,5.9
2007-08-11,89.0,67.0,78.0,5.0,65.0,70.0,0.0,13.0,455.0,1859.0,0.0,0.0,0.0,29.31,30.02,3.2,19.0,3.9
2007-08-12,88.0,67.0,78.0,5.0,67.0,71.0,0.0,13.0,456.0,1858.0,0.0,0.0,0.29,29.34,30.06,1.7,6.0,5.4
2007-08-13,81.0,65.0,73.0,0.0,57.0,64.0,0.0,8.0,457.0,1856.0,0.0,0.0,0.0,29.39,30.11,6.2,6.0,6.9
2007-08-14,84.0,65.0,75.0,3.0,67.0,70.0,0.0,10.0,458.0,1855.0,0.0,0.0,0.41,29.23,29.93,5.9,25.0,8.0
2007-08-15,80.0,71.0,76.0,4.0,67.0,70.0,0.0,11.0,459.0,1854.0,0.0,0.0,0.23,29.17,29.89,3.4,7.0,5.8
2007-08-16,77.0,65.0,71.0,-1.0,64.0,67.0,0.0,6.0,500.0,1852.0,0.0,0.0,0.0,29.28,29.97,3.6,1.0,5.7
2007-08-17,79.0,60.0,70.0,-2.0,54.0,61.0,0.0,5.0,501.0,1851.0,0.0,0.0,0.0,29.41,30.1,5.9,32.0,6.8
2007-08-18,68.0,59.0,64.0,-8.0,54.0,58.0,1.0,0.0,502.0,1849.0,0.0,0.0,0.09,29.44,30.16,6.4,12.0,8.1
2007-08-19,68.0,62.0,65.0,-6.0,62.0,64.0,0.0,0.0,503.0,1848.0,0.0,0.0,1.33,29.24,29.99,6.0,10.0,7.4
2007-08-20,78.0,68.0,73.0,2.0,68.0,69.0,0.0,8.0,504.0,1846.0,0.0,0.0,0.91,29.15,29.87,0.5,12.0,5.7
2007-08-21,87.0,69.0,78.0,7.0,70.0,72.0,0.0,13.0,505.0,1845.0,0.0,0.0,0.0,29.21,29.91,3.8,18.0,6.0
2007-08-22,90.0,69.0,80.0,9.0,71.0,73.0,0.0,15.0,506.0,1843.0,0.0,0.0,0.37,29.23,29.94,5.3,21.0,9.5
2007-08-23,87.0,69.0,78.0,7.0,69.0,71.0,0.0,13.0,508.0,1842.0,0.0,0.0,2.35,29.15,29.87,9.6,21.0,11.7
2007-08-24,80.0,69.0,75.0,4.0,67.0,69.0,0.0,10.0,509.0,1840.0,0.0,0.0,0.24,29.11,29.82,5.8,25.0,7.1
2007-08-25,79.0,64.0,72.0,2.0,63.0,66.0,0.0,7.0,510.0,1839.0,0.0,0.0,0.34,29.23,29.93,3.0,36.0,5.6
2007-08-26,79.0,60.0,70.0,0.0,55.0,61.0,0.0,5.0,511.0,1837.0,0.0,0.0,0.0,29.38,30.08,3.6,11.0,5.4
2007-08-27,79.0,60.0,70.0,0.0,60.0,64.0,0.0,5.0,512.0,1835.0,0.0,0.0,0.0,29.36,30.07,6.5,17.0,7.4
2007-08-28,91.0,67.0,79.0,9.0,66.0,70.0,0.0,14.0,513.0,1834.0,0.0,0.0,0.0,29.28,29.99,9.0,20.0,9.5
2007-08-29,85.0,68.0,77.0,7.0,65.0,69.0,0.0,12.0,514.0,1832.0,0.0,0.0,0.0,29.34,30.04,5.6,3.0,8.2
2007-08-30,75.0,57.0,66.0,-4.0,54.0,60.0,0.0,1.0,515.0,1831.0,0.0,0.0,0.0,29.47,30.18,9.1,2.0,9.9
2007-08-31,77.0,57.0,67.0,-2.0,52.0,59.0,0.0,2.0,516.0,1829.0,0.0,0.0,0.0,29.47,30.19,3.9,4.0,5.2
2007-09-01,81.0,57.0,69.0,1.0,55.0,61.0,0.0,4.0,517.0,1827.0,0.0,0.0,0.0,29.49,30.22,4.2,11.0,5.0
2007-09-02,85.0,61.0,73.0,5.0,57.0,63.0,0.0,8.0,518.0,1826.0,0.0,0.0,0.0,29.41,30.15,4.2,21.0,5.0
2007-09-03,88.0,66.0,77.0,9.0,61.0,67.0,0.0,12.0,519.0,1824.0,0.0,0.0,0.0,29.36,30.09,2.0,27.0,5.8
2007-09-04,89.0,63.0,76.0,8.0,60.0,66.0,0.0,11.0,520.0,1822.0,0.0,0.0,0.0,29.28,30.0,2.8,22.0,4.3
2007-09-05,90.0,66.0,78.0,11.0,63.0,69.0,0.0,13.0,521.0,1821.0,0.0,0.0,0.0,29.24,29.96,6.4,19.0,6.5
2007-09-06,82.0,73.0,78.0,11.0,67.0,70.0,0.0,13.0,522.0,1819.0,0.0,0.0,0.18,29.21,29.92,11.9,20.0,12.1
2007-09-07,84.0,70.0,77.0,10.0,68.0,70.0,0.0,12.0,523.0,1817.0,0.0,0.0,0.19,29.15,29.85,10.4,23.0,13.9
2007-09-08,78.0,64.0,71.0,5.0,57.0,63.0,0.0,6.0,524.0,1815.0,0.0,0.0,0.0,29.3,30.0,6.0,5.0,7.2
2007-09-09,80.0,63.0,72.0,6.0,59.0,63.0,0.0,7.0,525.0,1814.0,0.0,0.0,0.0,29.36,30.06,9.2,3.0,9.9
2007-09-10,74.0,54.0,64.0,-2.0,58.0,60.0,1.0,0.0,526.0,1812.0,0.0,0.0,0.36,29.3,30.04,7.2,2.0,9.0
2007-09-11,71.0,50.0,61.0,-4.0,44.0,52.0,4.0,0.0,527.0,1810.0,0.0,0.0,0.0,29.2,29.92,11.7,29.0,13.5
2007-09-12,67.0,46.0,57.0,-8.0,42.0,49.0,8.0,0.0,528.0,1809.0,0.0,0.0,0.0,29.4,30.12,1.8,3.0,5.6
2007-09-13,78.0,50.0,64.0,-1.0,45.0,54.0,1.0,0.0,529.0,1807.0,0.0,0.0,0.0,29.23,29.99,8.3,19.0,8.5
2007-09-14,66.0,45.0,56.0,-8.0,39.0,48.0,9.0,0.0,530.0,1805.0,0.0,0.0,0.0,29.36,30.05,12.1,32.0,13.4
2007-09-15,61.0,39.0,50.0,-14.0,33.0,43.0,15.0,0.0,531.0,1803.0,0.0,0.0,0.0,29.56,30.28,1.4,33.0,5.9
2007-09-16,71.0,44.0,58.0,-6.0,40.0,49.0,7.0,0.0,532.0,1760.0,0.0,0.0,0.0,29.46,30.19,6.8,18.0,7.4
2007-09-17,80.0,52.0,66.0,2.0,49.0,57.0,0.0,1.0,533.0,1758.0,0.0,0.0,0.0,29.39,30.12,11.7,17.0,12.1
2007-09-18,88.0,63.0,76.0,12.0,58.0,65.0,0.0,11.0,535.0,1756.0,0.0,0.0,0.0,29.34,30.06,12.9,19.0,13.1
2007-09-19,84.0,65.0,75.0,12.0,59.0,65.0,0.0,10.0,536.0,1755.0,0.0,0.0,0.0,29.41,30.11,5.0,26.0,9.7
2007-09-20,78.0,60.0,69.0,7.0,59.0,63.0,0.0,4.0,537.0,1753.0,0.0,0.0,0.0,29.39,30.12,5.3,7.0,6.6
2007-09-21,88.0,64.0,76.0,14.0,59.0,66.0,0.0,11.0,538.0,1751.0,0.0,0.0,0.0,29.18,29.9,10.3,21.0,12.4
2007-09-22,74.0,51.0,63.0,1.0,43.0,53.0,2.0,0.0,539.0,1749.0,0.0,0.0,0.0,29.42,30.12,2.6,3.0,6.8
2007-09-23,84.0,50.0,67.0,6.0,50.0,58.0,0.0,2.0,540.0,1748.0,0.0,0.0,0.0,29.43,30.16,4.6,13.0,5.3
2007-09-24,90.0,68.0,79.0,18.0,63.0,68.0,0.0,14.0,541.0,1746.0,0.0,0.0,0.0,29.27,29.99,11.4,19.0,11.9
2007-09-25,85.0,63.0,74.0,13.0,65.0,69.0,0.0,9.0,542.0,1744.0,0.0,0.0,0.27,29.23,29.95,7.9,23.0,10.5
2007-09-26,69.0,53.0,61.0,1.0,50.0,55.0,4.0,0.0,543.0,1742.0,0.0,0.0,0.09,29.31,30.03,4.3,1.0,6.6
2007-09-27,75.0,49.0,62.0,2.0,49.0,55.0,3.0,0.0,544.0,1741.0,0.0,0.0,0.0,29.26,29.97,4.9,24.0,6.5
2007-09-28,73.0,53.0,63.0,4.0,46.0,53.0,2.0,0.0,545.0,1739.0,0.0,0.0,0.0,29.47,30.17,2.3,4.0,7.1
2007-09-29,80.0,50.0,65.0,6.0,46.0,55.0,0.0,0.0,546.0,1737.0,0.0,0.0,0.0,29.5,30.23,9.5,17.0,9.8
2007-09-30,83.0,59.0,71.0,12.0,49.0,59.0,0.0,6.0,547.0,1735.0,0.0,0.0,0.14,29.36,30.1,14.4,19.0,14.6
2007-10-01,69.0,59.0,64.0,6.0,59.0,61.0,1.0,0.0,548.0,1734.0,0.0,0.0,0.29,29.28,30.0,6.1,22.0,8.1
2007-10-02,78.0,57.0,68.0,10.0,59.0,63.0,0.0,3.0,549.0,1732.0,0.0,0.0,0.09,29.18,29.92,10.8,19.0,11.1
2007-10-03,74.0,55.0,65.0,8.0,48.0,56.0,0.0,0.0,550.0,1730.0,0.0,0.0,0.0,29.28,29.98,5.9,26.0,7.1
2007-10-04,82.0,51.0,67.0,10.0,56.0,61.0,0.0,2.0,552.0,1729.0,0.0,0.0,0.0,29.34,30.04,3.9,17.0,4.6
2007-10-05,84.0,62.0,73.0,16.0,65.0,68.0,0.0,8.0,553.0,1727.0,0.0,0.0,0.0,29.36,30.08,7.0,17.0,7.0
2007-10-06,87.0,69.0,78.0,22.0,67.0,70.0,0.0,13.0,554.0,1725.0,0.0,0.0,0.0,29.33,30.04,6.9,20.0,7.4
2007-10-07,87.0,67.0,77.0,21.0,66.0,70.0,0.0,12.0,555.0,1724.0,0.0,0.0,0.0,29.31,30.03,5.2,19.0,5.9
2007-10-08,87.0,60.0,74.0,18.0,61.0,66.0,0.0,9.0,556.0,1722.0,0.0,0.0,0.0,29.23,29.93,7.7,24.0,10.1
2007-10-09,76.0,49.0,63.0,8.0,44.0,53.0,2.0,0.0,557.0,1720.0,0.0,0.0,0.0,29.21,29.94,11.5,28.0,12.8
2007-10-10,54.0,47.0,51.0,-4.0,38.0,44.0,14.0,0.0,558.0,1719.0,0.0,0.0,0.0,29.21,29.93,15.1,31.0,15.5
2007-10-11,54.0,46.0,50.0,-4.0,39.0,45.0,15.0,0.0,559.0,1717.0,0.0,0.0,0.0,29.28,30.01,11.9,36.0,12.9
2007-10-12,56.0,41.0,49.0,-5.0,35.0,43.0,16.0,0.0,600.0,1715.0,0.0,0.0,0.0,29.28,30.02,3.4,35.0,4.6
2007-10-13,59.0,40.0,50.0,-3.0,41.0,47.0,15.0,0.0,602.0,1714.0,0.0,0.0,0.0,29.31,30.04,2.7,20.0,3.5
2007-10-14,61.0,53.0,57.0,4.0,49.0,53.0,8.0,0.0,603.0,1712.0,0.0,0.0,0.15,29.34,30.06,5.6,11.0,6.6
2007-10-15,74.0,51.0,63.0,10.0,52.0,57.0,2.0,0.0,604.0,1711.0,0.0,0.0,0.07,29.21,29.95,4.1,14.0,5.6
2007-10-16,67.0,52.0,60.0,8.0,54.0,57.0,5.0,0.0,605.0,1709.0,0.0,0.0,0.24,29.16,29.88,6.4,21.0,7.5
2007-10-17,72.0,47.0,60.0,8.0,53.0,57.0,5.0,0.0,606.0,1707.0,0.0,0.0,0.04,29.07,29.83,9.3,14.0,9.8
2007-10-18,78.0,59.0,69.0,18.0,56.0,61.0,0.0,4.0,607.0,1706.0,0.0,0.0,0.3,28.59,29.34,17.2,19.0,18.9
